actual,predicted,residuals,abs_error,percentage_error
0.9196812,0.82940185,0.09027934,0.09027934,9.816373
0.95372653,0.87891996,0.07480657,0.07480657,7.8436084
0.90963256,0.94025564,-0.030623078,0.030623078,3.3665328
0.8896103,0.94947076,-0.059860468,0.059860468,6.7288413
0.8691381,0.92186975,-0.052731633,0.052731633,6.0671177
0.8713877,0.8923018,-0.020914078,0.020914078,2.4000888
0.8668134,0.88018,-0.01336658,0.01336658,1.5420367
0.85796463,0.88827825,-0.030313611,0.030313611,3.5332005
0.8561648,0.8966092,-0.040444374,0.040444374,4.723901
0.87273765,0.88591397,-0.013176322,0.013176322,1.509769
0.91653156,0.89225805,0.024273515,0.024273515,2.6484103
0.9385786,0.8809416,0.057636976,0.057636976,6.1408787
0.80944633,0.6913942,0.118052125,0.118052125,14.584306
0.55298126,0.38035512,0.17262614,0.17262614,31.217358
0.5219356,0.36696452,0.15497106,0.15497106,29.691607
0.46869284,0.3737101,0.09498274,0.09498274,20.265457
0.44702077,0.3294397,0.11758107,0.11758107,26.303268
0.38492924,0.30851752,0.076411724,0.076411724,19.85085
0.4138003,0.3277219,0.086078405,0.086078405,20.80192
0.42309898,0.41312987,0.009969115,0.009969115,2.3562136
0.43562233,0.5290918,-0.09346944,0.09346944,21.456532
0.48924005,0.6203949,-0.13115484,0.13115484,26.807869
0.76580226,0.7921921,-0.026389837,0.026389837,3.446038
0.97952306,0.8366524,0.14287066,0.14287066,14.585738
0.9778732,0.8781326,0.099740624,0.099740624,10.19975
0.97434866,0.9568671,0.017481565,0.017481565,1.7941797
0.95642614,1.0248488,-0.068422675,0.068422675,7.1539946
0.9514768,1.0507419,-0.0992651,0.0992651,10.432739
0.9405284,1.0467827,-0.10625434,0.10625434,11.297302
0.94300294,1.0289541,-0.08595121,0.08595121,9.114628
0.93790364,1.0225599,-0.08465624,0.08465624,9.026113
0.94382787,1.0482453,-0.10441744,0.10441744,11.063187
0.935354,1.0835901,-0.14823616,0.14823616,15.848134
0.9515518,1.068427,-0.11687517,0.11687517,12.282586
0.98124766,1.0798569,-0.09860921,0.09860921,10.04937
0.9913714,1.0630449,-0.07167351,0.07167351,7.2297335
0.85099053,0.8656132,-0.014622688,0.014622688,1.7183138
0.5836521,0.563295,0.020357072,0.020357072,3.4878778
0.51391166,0.45270765,0.061204016,0.061204016,11.909443
0.4292482,0.42450452,0.0047436953,0.0047436953,1.1051171
0.43517238,0.3711543,0.06401807,0.06401807,14.710969
0.3451097,0.3484012,-0.0032914877,0.0032914877,0.95375115
0.39542782,0.3381219,0.057305932,0.057305932,14.492135
0.3481843,0.3856436,-0.037459314,0.037459314,10.758473
0.31901324,0.45769125,-0.13867801,0.13867801,43.47093
0.4516701,0.5373296,-0.085659504,0.085659504,18.96506
0.72703254,0.7686411,-0.041608572,0.041608572,5.7230687
0.9472773,0.8390522,0.10822511,0.10822511,11.42486
0.9372288,0.8693434,0.0678854,0.0678854,7.243205
0.92260575,0.9371892,-0.014583468,0.014583468,1.5806826
0.9297298,0.9905938,-0.06086397,0.06086397,6.546415
0.913682,1.0084109,-0.09472895,0.09472895,10.367825
0.88646066,0.9900148,-0.10355413,0.10355413,11.681751
0.8750622,0.9510238,-0.07596159,0.07596159,8.680707
0.8705629,0.9363862,-0.06582332,0.06582332,7.5610065
0.8649386,0.9535248,-0.08858621,0.08858621,10.241907
0.87371254,0.9357115,-0.061998963,0.061998963,7.0960364
0.89485955,0.9141656,-0.019306064,0.019306064,2.1574407
0.94120324,0.9232192,0.017984033,0.017984033,1.9107491
0.9858221,0.9177644,0.06805766,0.06805766,6.9036446
0.84124196,0.7807089,0.060533047,0.060533047,7.1956763
0.5584555,0.44502348,0.11343205,0.11343205,20.311743
0.5253851,0.3939746,0.13141048,0.13141048,25.012222
0.48564047,0.38981032,0.09583014,0.09583014,19.732735
0.4489705,0.3559891,0.0929814,0.0929814,20.709913
0.42032444,0.3286209,0.091703534,0.091703534,21.81732
0.40975088,0.35012335,0.059627533,0.059627533,14.552143
0.43007308,0.40388042,0.026192665,0.026192665,6.0902824
0.4141003,0.5183182,-0.10421789,0.10421789,25.167307
0.4248988,0.5998488,-0.17495,0.17495,41.17451
0.6685405,0.76645744,-0.09791696,0.09791696,14.646377
0.93512905,0.79913056,0.13599849,0.13599849,14.543286
0.96887445,0.8195673,0.14930713,0.14930713,15.41037
1.0018699,0.88990176,0.11196816,0.11196816,11.175918
1.0224172,0.98338544,0.039031744,0.039031744,3.8175948
1.0185177,1.0594015,-0.04088378,0.04088378,4.0140467
0.986572,1.1033367,-0.116764665,0.116764665,11.835392
0.9080578,1.1157742,-0.20771635,0.20771635,22.874794
0.89815915,1.0815978,-0.18343866,0.18343866,20.423847
0.9043083,1.104734,-0.20042562,0.20042562,22.163416
0.9014586,1.1018612,-0.20040262,0.20040262,22.230928
0.9169065,1.0685456,-0.1516391,0.1516391,16.53812
0.9521518,1.0595626,-0.10741079,0.10741079,11.280848
0.97899806,1.0318466,-0.052848577,0.052848577,5.398231
0.84634125,0.8496562,-0.003314972,0.003314972,0.39168265
0.56347984,0.53911495,0.024364889,0.024364889,4.3240037
0.5235103,0.4251507,0.098359585,0.098359585,18.788471
0.49928862,0.40692568,0.09236294,0.09236294,18.498907
0.46876782,0.3782698,0.09049803,0.09049803,19.305511
0.43352264,0.3689834,0.06453925,0.06453925,14.887171
0.4482206,0.37349898,0.074721634,0.074721634,16.670727
0.4458959,0.42726743,0.018628478,0.018628478,4.1777635
0.45864415,0.527578,-0.068933845,0.068933845,15.029919
0.49516422,0.61445785,-0.11929363,0.11929363,24.09173
0.7595031,0.7844819,-0.024978757,0.024978757,3.2888286
0.99069655,0.8561604,0.13453615,0.13453615,13.579956
0.9819226,0.90470994,0.07721269,0.07721269,7.8634186
0.9598006,0.9960222,-0.036221623,0.036221623,3.7738695
0.96010065,1.0568588,-0.09675813,0.09675813,10.077915
0.957476,1.0825964,-0.1251204,0.1251204,13.067733
0.97592354,1.0804037,-0.10448015,0.10448015,10.705772
0.9893466,1.0763578,-0.08701122,0.08701122,8.794817
0.9801979,1.0932407,-0.11304283,0.11304283,11.532654
0.9806479,1.147939,-0.16729105,0.16729105,17.059237
0.98274755,1.1700995,-0.18735194,0.18735194,19.064096
0.9991704,1.1656854,-0.166515,0.166515,16.665325
1.0338156,1.1722953,-0.13847971,0.13847971,13.39501
1.0413146,1.1813476,-0.140033,0.140033,13.447714
0.9025835,0.9927473,-0.09016383,0.09016383,9.989528
0.61169827,0.68394506,-0.07224679,0.07224679,11.810854
0.577203,0.51997095,0.057232022,0.057232022,9.915407
0.5401581,0.48957223,0.050585866,0.050585866,9.365011
0.49418932,0.44948804,0.04470128,0.04470128,9.045375
0.4557196,0.43661755,0.019102037,0.019102037,4.191621
0.46111882,0.42898107,0.03213775,0.03213775,6.9695168
0.46764296,0.4468761,0.020766854,0.020766854,4.4407496
0.4709425,0.5267608,-0.05581832,0.05581832,11.85247
0.50288814,0.6131644,-0.11027628,0.11027628,21.92859
0.75560355,0.7820461,-0.026442528,0.026442528,3.4995239
0.99114645,0.8746517,0.116494775,0.116494775,11.753538
0.9759985,0.92502034,0.050978184,0.050978184,5.2231827
0.95462644,1.017761,-0.06313455,0.06313455,6.613535
0.9533515,1.0757633,-0.12241185,0.12241185,12.840159
0.9464525,1.0939747,-0.14752221,0.14752221,15.586859
0.87873685,1.0874053,-0.20866847,0.20866847,23.746412
0.87596214,1.0357941,-0.159832,0.159832,18.24645
0.8668883,1.0096215,-0.14273322,0.14273322,16.465006
0.86748827,1.0435202,-0.17603195,0.17603195,20.292143
0.86853814,1.0044621,-0.13592398,0.13592398,15.649742
0.88796043,0.9658636,-0.07790315,0.07790315,8.773268
0.91908133,0.9719794,-0.05289805,0.05289805,5.755535
0.9520018,0.9629724,-0.0109705925,0.0109705925,1.1523709
0.81432056,0.80465484,0.009665728,0.009665728,1.1869683
0.5383583,0.43980902,0.09854925,0.09854925,18.305513
0.49748892,0.38591373,0.111575186,0.111575186,22.427671
0.467193,0.37877518,0.08841783,0.08841783,18.925331
0.43014807,0.33292156,0.0972265,0.0972265,22.603031
0.3863541,0.3081696,0.078184485,0.078184485,20.236485
0.40675128,0.33384985,0.07290143,0.07290143,17.922852
0.41567504,0.4204427,-0.0047676563,0.0047676563,1.1469672
0.42452383,0.52768886,-0.10316503,0.10316503,24.301352
0.46771795,0.6134428,-0.14572483,0.14572483,31.156563
0.70003617,0.79048216,-0.090445995,0.090445995,12.920189
0.92995477,0.8374069,0.09254789,0.09254789,9.95187
0.91803145,0.8606268,0.057404637,0.057404637,6.2530146
0.8965844,0.91124,-0.01465559,0.01465559,1.6346024
0.88706064,0.9442595,-0.057198882,0.057198882,6.4481363
0.88616073,0.94547427,-0.059313536,0.059313536,6.6933155
0.9028834,0.92751455,-0.024631143,0.024631143,2.7280536
0.90640795,0.919474,-0.013066053,0.013066053,1.4415202
0.8982341,0.9201337,-0.021899581,0.021899581,2.4380705
0.8969593,0.94570804,-0.04874873,0.04874873,5.434888
0.8962095,0.96541214,-0.06920266,0.06920266,7.721706
0.91765654,0.95189214,-0.034235597,0.034235597,3.7307634
0.94352794,0.9646007,-0.021072745,0.021072745,2.2333992
0.9772732,0.9536761,0.023597121,0.023597121,2.414588
0.83989215,0.791783,0.048109174,0.048109174,5.728018
0.57090384,0.4585287,0.11237514,0.11237514,19.683725
0.52478516,0.40297526,0.1218099,0.1218099,23.211384
0.4973389,0.3928411,0.10449779,0.10449779,21.011385
0.48376572,0.3647095,0.119056225,0.119056225,24.610306
0.44574594,0.3567037,0.08904225,0.08904225,19.976007
0.45969403,0.38167596,0.07801807,0.07801807,16.971739
0.4445461,0.45894527,-0.014399171,0.014399171,3.2390726
0.45781928,0.54228956,-0.08447027,0.08447027,18.450571
0.49861372,0.6451676,-0.14655387,0.14655387,29.392265
0.74165547,0.8006774,-0.05902195,0.05902195,7.9581356
0.9788481,0.849946,0.12890208,0.12890208,13.168753
0.9700743,0.8927405,0.07733381,0.07733381,7.9719467
0.9516269,0.9677614,-0.0161345,0.0161345,1.695465
0.9447278,1.0208572,-0.07612944,0.07612944,8.058346
0.94390285,1.0405029,-0.096600056,0.096600056,10.23411
0.9593507,1.0337709,-0.07442021,0.07442021,7.7573524
0.9598006,1.030708,-0.070907354,0.070907354,7.3877172
0.95275176,1.0335314,-0.08077967,0.08077967,8.478565
0.9472773,1.0854871,-0.13820982,0.13820982,14.590218
0.9455527,1.1242808,-0.1787281,0.1787281,18.901972
0.9609256,1.0964293,-0.13550377,0.13550377,14.10138
