Hour,Month,Day,DayOfWeek,Quarter,WeekOfYear,Zone_encoded,Renewable_energy_percentage_RE%,Carbon-free_energy_percentage_CFE%,Carbon_Efficiency,Clean_Energy_Gap,Carbon_Intensity_MA_24h,RE_Percentage_MA_24h
20,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.8041309696378942,-0.819633546342629,-0.6631399879955913,-0.2184838646356959,0.7247916411429882,-0.6198933233930013
21,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.8048760630667945,-0.819633546342629,-0.663420715726812,-0.214450502817964,0.7206744088227366,-0.6147940246193191
22,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.7936996616332889,-0.8080629732812126,-0.6583172085668931,-0.210417141000232,0.7166644977241035,-0.6097627164959524
23,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.8026407827800934,-0.819633546342629,-0.6625309176932629,-0.2265505882711598,0.7134838869743356,-0.6056492821518487
0,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.8451111082274146,-0.8695316426699873,-0.6820168236421217,-0.2749509300839446,0.7111293244152033,-0.6024197262618503
1,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.8503267622297173,-0.8796558940987265,-0.6845932988215454,-0.3031844628080683,0.7098609827051731,-0.6003460114272191
2,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.5865636883989855,-0.6352275381763054,-0.563442182575539,-0.3677182518917816,0.7107845956427334,-0.6008219459794296
3,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.2736244482608292,-0.3445168900082186,-0.4063743591313191,-0.4403187646109589,0.7162482214705547,-0.6072470624342692
4,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.205075852801995,-0.2830482206194439,-0.370028532958208,-0.4685522973350818,0.7178320225289774,-0.608742856741216
5,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.1529193127789691,-0.2331501242920856,-0.3415426365392415,-0.4725856591528131,0.7192629721505494,-0.6100006837720576
6,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.187193610508386,-0.2765397732723972,-0.3610771863043193,-0.5290527246010632,0.7200597509171066,-0.6105446089745836
7,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.1290763230541571,-0.2172405863326381,-0.3286595012214501,-0.512919277330134,0.7195621707077878,-0.6093887679192157
8,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.1111940807605481,-0.1969920834751594,-0.3184508962313531,-0.4967858300592062,0.7190906077643149,-0.6082329268638477
9,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.0977823990403414,-0.1810825455157119,-0.3106951125809947,-0.4806523827882784,0.7180889430292142,-0.6063631839801641
10,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.1216253887651533,-0.2020542091895291,-0.3238367127290839,-0.4685522973350818,0.7175946149781252,-0.6052073429247965
11,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.1529193127789691,-0.2273648377613775,-0.3406366319101144,-0.4403187646109575,0.7171815908828079,-0.6041874831700599
12,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.3891139297403869,-0.4493752083773045,-0.4656965689700206,-0.399985146433638,0.7167067757811042,-0.6031336280901657
13,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.8451111082274146,-0.8818253765477422,-0.6824131421221565,-0.3435180809853893,0.716173421831246,-0.6020117823599554
14,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.8384052673673114,-0.8738706075680183,-0.6792834667381136,-0.3354513573499246,0.7155912855079238,-0.6007879506542718
15,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.8197779316448021,-0.850006300628847,-0.6706773311315809,-0.3031844628080683,0.7150611837162962,-0.5996661049240616
16,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.8130720907846987,-0.8406052100164463,-0.6675242024626162,-0.2870510155371405,0.7144595344435896,-0.5984762685435357
17,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.8033858762089938,-0.8261419936896757,-0.6629228069888743,-0.2588174828130161,0.7139814671836553,-0.5974224134636412
18,2,6,0.9990596645021408,-1.350442535864218,-1.428895211084357,4,-0.8570326030898207,-0.8695316426699873,-0.6871983939843392,-0.210417141000232,0.7158156844258527,-0.5996661049240617
